Title,Alternative Title,Description,Language,Publisher,Genre,Subject,Temporal Coverage,Date Range,Solr Year,Date Issued,Spatial Coverage,Bounding Box,Type,Geometry Type,Format,Information,Identifier,Slug,Provenance,Code,Is Part Of,Status,Accrual Method,Date Accessioned,Rights,Access Rights,Suppressed,Child
"Land Survey Map: Scott County, Iowa; 79N 5E","Iowa land survey map of t079n, r005e","Part of a set of digitized microfilm of manuscript maps of Iowa townships. Individual maps in the set may include: Native American villages and fields; the first farmsteads, town sites and fields established by settlers; networks of trails; distribution of rivers, woods, prairies, wetlands and springs; and survey data such as creator, date created, and date accepted.",English,United States Surveyor General,Maps,Planning and Cadastral,1836-1838,[1836 TO 1838],1836,1836,"Scott County, Iowa|Iowa","-90.43272002, 41.5975647, -90.32839542, 41.68493285",Image,Image,JPEG,https://digital.lib.uiowa.edu/islandora/object/ui:glo_76,e271beae-2383-4812-8f2b-337370bc3087,e271beae-2383-4812-8f2b-337370bc3087,Iowa,03d-03,03d-03,Active,Manual,8/31/2020,Public,"Material in the public domain. No restrictions on use. For  more information, contact the University of Iowa Libraries Map Collection: http://www.lib.uiowa.edu/maps/contact.",FALSE,FALSE
"Land Survey Map: Dubuque County, Iowa; 89N 2E","Iowa land survey map of t089n, r002e","Part of a set of digitized microfilm of manuscript maps of Iowa townships. Individual maps in the set may include: Native American villages and fields; the first farmsteads, town sites and fields established by settlers; networks of trails; distribution of rivers, woods, prairies, wetlands and springs; and survey data such as creator, date created, and date accepted.",English,United States Surveyor General,Maps,Planning and Cadastral,1836-1838,[1836 TO 1838],1836,1836,"Dubuque County, Iowa|Iowa","-90.78024936, 42.47099718, -90.66146006, 42.55805999",Image,Image,JPEG,https://digital.lib.uiowa.edu/islandora/object/ui:glo_41,01abee6f-41f5-482d-b249-a382d6e94d2d,01abee6f-41f5-482d-b249-a382d6e94d2d,Iowa,03d-03,03d-03,Active,Manual,8/31/2020,Public,"Material in the public domain. No restrictions on use. For  more information, contact the University of Iowa Libraries Map Collection: http://www.lib.uiowa.edu/maps/contact.",FALSE,FALSE
"Land Survey Map: Dubuque County, Iowa; 91N 2E","Iowa land survey map of t091n, r002e","Part of a set of digitized microfilm of manuscript maps of Iowa townships. Individual maps in the set may include: Native American villages and fields; the first farmsteads, town sites and fields established by settlers; networks of trails; distribution of rivers, woods, prairies, wetlands and springs; and survey data such as creator, date created, and date accepted.",English,United States Surveyor General,Maps,Planning and Cadastral,1836-1838,[1836 TO 1838],1836,1836,"Dubuque County, Iowa|Iowa","-90.77972946, 42.64533671, -90.74479107, 42.65272692",Image,Image,JPEG,https://digital.lib.uiowa.edu/islandora/object/ui:glo_44,25752fd7-d0cd-427b-91b0-6122371ec151,25752fd7-d0cd-427b-91b0-6122371ec151,Iowa,03d-03,03d-03,Active,Manual,8/31/2020,Public,"Material in the public domain. No restrictions on use. For  more information, contact the University of Iowa Libraries Map Collection: http://www.lib.uiowa.edu/maps/contact.",FALSE,FALSE
"Land Survey Map: Lee County, Iowa; 67N 4W","Iowa land survey map of t067n, r004w","Part of a set of digitized microfilm of manuscript maps of Iowa townships. Individual maps in the set may include: Native American villages and fields; the first farmsteads, town sites and fields established by settlers; networks of trails; distribution of rivers, woods, prairies, wetlands and springs; and survey data such as creator, date created, and date accepted.",English,United States Surveyor General,Maps,Planning and Cadastral,1836-1839,[1836 TO 1839],1836,1836,"Lee County, Iowa|Iowa","-91.37396868, 40.58207374, -91.25599589, 40.63845405",Image,Image,JPEG,https://digital.lib.uiowa.edu/islandora/object/ui:glo_202,cf307d34-a3ca-474b-a064-d89cad30e567,cf307d34-a3ca-474b-a064-d89cad30e567,Iowa,03d-03,03d-03,Active,Manual,8/31/2020,Public,"Material in the public domain. No restrictions on use. For  more information, contact the University of Iowa Libraries Map Collection: http://www.lib.uiowa.edu/maps/contact.",FALSE,FALSE
"Land Survey Map: Lee County, Iowa; 68N 2W","Iowa land survey map of t068n, r002w","Part of a set of digitized microfilm of manuscript maps of Iowa townships. Individual maps in the set may include: Native American villages and fields; the first farmsteads, town sites and fields established by settlers; networks of trails; distribution of rivers, woods, prairies, wetlands and springs; and survey data such as creator, date created, and date accepted.",English,United States Surveyor General,Maps,Planning and Cadastral,1836-1839,[1836 TO 1839],1836,1836,"Lee County, Iowa|Iowa","-91.14419753, 40.65836859, -91.11071001, 40.72397337",Image,Image,JPEG,https://digital.lib.uiowa.edu/islandora/object/ui:glo_132,fc38cb2f-3b06-4cd2-8c46-8e224a86f928,fc38cb2f-3b06-4cd2-8c46-8e224a86f928,Iowa,03d-03,03d-03,Active,Manual,8/31/2020,Public,"Material in the public domain. No restrictions on use. For  more information, contact the University of Iowa Libraries Map Collection: http://www.lib.uiowa.edu/maps/contact.",FALSE,FALSE
"Land Survey Map: Lee County, Iowa; Des Moines County, Iowa; 68N 3W","Iowa land survey map of t068n, r003w","Part of a set of digitized microfilm of manuscript maps of Iowa townships. Individual maps in the set may include: Native American villages and fields; the first farmsteads, town sites and fields established by settlers; networks of trails; distribution of rivers, woods, prairies, wetlands and springs; and survey data such as creator, date created, and date accepted.",English,United States Surveyor General,Maps,Planning and Cadastral,1836-1839,[1836 TO 1839],1836,1836,"Lee County Des Moines County, Iowa|Iowa","-91.25896241, 40.63609593, -91.14303189, 40.72501917",Image,Image,JPEG,https://digital.lib.uiowa.edu/islandora/object/ui:glo_164,fc250dc9-b657-451e-842f-9d3c6f6ce330,fc250dc9-b657-451e-842f-9d3c6f6ce330,Iowa,03d-03,03d-03,Active,Manual,8/31/2020,Public,"Material in the public domain. No restrictions on use. For  more information, contact the University of Iowa Libraries Map Collection: http://www.lib.uiowa.edu/maps/contact.",FALSE,FALSE
"Land Survey Map: Lee County, Iowa; 68N 4W","Iowa land survey map of t068n, r004w","Part of a set of digitized microfilm of manuscript maps of Iowa townships. Individual maps in the set may include: Native American villages and fields; the first farmsteads, town sites and fields established by settlers; networks of trails; distribution of rivers, woods, prairies, wetlands and springs; and survey data such as creator, date created, and date accepted.",English,United States Surveyor General,Maps,Planning and Cadastral,1836-1839,[1836 TO 1839],1836,1836,"Lee County, Iowa|Iowa","-91.37316929, 40.63734802, -91.25805435, 40.72541362",Image,Image,JPEG,https://digital.lib.uiowa.edu/islandora/object/ui:glo_203,92550acc-d278-4b81-ab06-3eb23dc4c218,92550acc-d278-4b81-ab06-3eb23dc4c218,Iowa,03d-03,03d-03,Active,Manual,8/31/2020,Public,"Material in the public domain. No restrictions on use. For  more information, contact the University of Iowa Libraries Map Collection: http://www.lib.uiowa.edu/maps/contact.",FALSE,FALSE
"Land Survey Map: Des Moines County, Iowa; 69N 2W","Iowa land survey map of t069n, r002w","Part of a set of digitized microfilm of manuscript maps of Iowa townships. Individual maps in the set may include: Native American villages and fields; the first farmsteads, town sites and fields established by settlers; networks of trails; distribution of rivers, woods, prairies, wetlands and springs; and survey data such as creator, date created, and date accepted.",English,United States Surveyor General,Maps,Planning and Cadastral,1836-1839,[1836 TO 1839],1836,1836,"Des Moines County, Iowa|Iowa","-91.14303189, 40.72355352, -91.09098033, 40.81137693",Image,Image,JPEG,https://digital.lib.uiowa.edu/islandora/object/ui:glo_133,c6618f81-bdf6-4b6f-909a-ac6e36f8083e,c6618f81-bdf6-4b6f-909a-ac6e36f8083e,Iowa,03d-03,03d-03,Active,Manual,8/31/2020,Public,"Material in the public domain. No restrictions on use. For  more information, contact the University of Iowa Libraries Map Collection: http://www.lib.uiowa.edu/maps/contact.",FALSE,FALSE
"Land Survey Map: Des Moines County, Iowa; 70N 2W","Iowa land survey map of t070n, r002w","Part of a set of digitized microfilm of manuscript maps of Iowa townships. Individual maps in the set may include: Native American villages and fields; the first farmsteads, town sites and fields established by settlers; networks of trails; distribution of rivers, woods, prairies, wetlands and springs; and survey data such as creator, date created, and date accepted.",English,United States Surveyor General,Maps,Planning and Cadastral,1836-1839,[1836 TO 1839],1836,1836,"Des Moines County, Iowa|Iowa","-91.14168765, 40.81118479, -91.0264272, 40.8987675",Image,Image,JPEG,https://digital.lib.uiowa.edu/islandora/object/ui:glo_134,c3d03d46-5214-4b27-8099-beb6889ed072,c3d03d46-5214-4b27-8099-beb6889ed072,Iowa,03d-03,03d-03,Active,Manual,8/31/2020,Public,"Material in the public domain. No restrictions on use. For  more information, contact the University of Iowa Libraries Map Collection: http://www.lib.uiowa.edu/maps/contact.",FALSE,FALSE
"Land Survey Map: Des Moines County, Iowa; 70N 4W","Iowa land survey map of t070n, r004w","Part of a set of digitized microfilm of manuscript maps of Iowa townships. Individual maps in the set may include: Native American villages and fields; the first farmsteads, town sites and fields established by settlers; networks of trails; distribution of rivers, woods, prairies, wetlands and springs; and survey data such as creator, date created, and date accepted.",English,United States Surveyor General,Maps,Planning and Cadastral,1836-1839,[1836 TO 1839],1836,1836,"Des Moines County, Iowa|Iowa","-91.37204107, 40.81237436, -91.25649361, 40.90028029",Image,Image,JPEG,https://digital.lib.uiowa.edu/islandora/object/ui:glo_205,9bd667d4-a4a8-447f-ad4a-64cf706c9539,9bd667d4-a4a8-447f-ad4a-64cf706c9539,Iowa,03d-03,03d-03,Active,Manual,8/31/2020,Public,"Material in the public domain. No restrictions on use. For  more information, contact the University of Iowa Libraries Map Collection: http://www.lib.uiowa.edu/maps/contact.",FALSE,FALSE
"Land Survey Map: Des Moines County, Iowa; 71N 4W","Iowa land survey map of t071n, r004w","Part of a set of digitized microfilm of manuscript maps of Iowa townships. Individual maps in the set may include: Native American villages and fields; the first farmsteads, town sites and fields established by settlers; networks of trails; distribution of rivers, woods, prairies, wetlands and springs; and survey data such as creator, date created, and date accepted.",English,United States Surveyor General,Maps,Planning and Cadastral,1836-1839,[1836 TO 1839],1836,1836,"Des Moines County, Iowa|Iowa","-91.37185143, 40.89975706, -91.25640805, 40.98745385",Image,Image,JPEG,https://digital.lib.uiowa.edu/islandora/object/ui:glo_206,6e99fa2e-4fd2-4156-9324-da61a99792c7,6e99fa2e-4fd2-4156-9324-da61a99792c7,Iowa,03d-03,03d-03,Active,Manual,8/31/2020,Public,"Material in the public domain. No restrictions on use. For  more information, contact the University of Iowa Libraries Map Collection: http://www.lib.uiowa.edu/maps/contact.",FALSE,FALSE
"Land Survey Map: Louisa County, Iowa; 74N 4W","Iowa land survey map of t074n, r004w","Part of a set of digitized microfilm of manuscript maps of Iowa townships. Individual maps in the set may include: Native American villages and fields; the first farmsteads, town sites and fields established by settlers; networks of trails; distribution of rivers, woods, prairies, wetlands and springs; and survey data such as creator, date created, and date accepted.",English,United States Surveyor General,Maps,Planning and Cadastral,1836-1839,[1836 TO 1839],1836,1836,"Louisa County, Iowa|Iowa","-91.37042463, 41.16118292, -91.25427259, 41.24838235",Image,Image,JPEG,https://digital.lib.uiowa.edu/islandora/object/ui:glo_209,a55afa4e-0181-4d4e-a054-f989b14a088d,a55afa4e-0181-4d4e-a054-f989b14a088d,Iowa,03d-03,03d-03,Active,Manual,8/31/2020,Public,"Material in the public domain. No restrictions on use. For  more information, contact the University of Iowa Libraries Map Collection: http://www.lib.uiowa.edu/maps/contact.",FALSE,FALSE
"Land Survey Map: Louisa County, Iowa; 76N 5W","Iowa land survey map of t076n, r005w","Part of a set of digitized microfilm of manuscript maps of Iowa townships. Individual maps in the set may include: Native American villages and fields; the first farmsteads, town sites and fields established by settlers; networks of trails; distribution of rivers, woods, prairies, wetlands and springs; and survey data such as creator, date created, and date accepted.",English,United States Surveyor General,Maps,Planning and Cadastral,1836-1839,[1836 TO 1839],1836,1836,"Louisa County, Iowa|Iowa","-91.48473436, 41.33588308, -91.36847582, 41.42423339",Image,Image,JPEG,https://digital.lib.uiowa.edu/islandora/object/ui:glo_247,3266f56a-8bd1-4fb7-8686-c44029de10e7,3266f56a-8bd1-4fb7-8686-c44029de10e7,Iowa,03d-03,03d-03,Active,Manual,8/31/2020,Public,"Material in the public domain. No restrictions on use. For  more information, contact the University of Iowa Libraries Map Collection: http://www.lib.uiowa.edu/maps/contact.",FALSE,FALSE
"Land Survey Map: Muscatine County, Iowa; 78N 1E","Iowa land survey map of t078n, r001e","Part of a set of digitized microfilm of manuscript maps of Iowa townships. Individual maps in the set may include: Native American villages and fields; the first farmsteads, town sites and fields established by settlers; networks of trails; distribution of rivers, woods, prairies, wetlands and springs; and survey data such as creator, date created, and date accepted.",English,United States Surveyor General,Maps,Planning and Cadastral,1836-1839,[1836 TO 1839],1836,1836,"Muscatine County, Iowa|Iowa","-90.90099697, 41.50934379, -90.78377659, 41.59700487",Image,Image,JPEG,https://digital.lib.uiowa.edu/islandora/object/ui:glo_13,32c6b23e-d0e9-43c6-81d4-9e01eb40700b,32c6b23e-d0e9-43c6-81d4-9e01eb40700b,Iowa,03d-03,03d-03,Active,Manual,8/31/2020,Public,"Material in the public domain. No restrictions on use. For  more information, contact the University of Iowa Libraries Map Collection: http://www.lib.uiowa.edu/maps/contact.",FALSE,FALSE
"Land Survey Map: Scott County, Iowa; 78N 2E","Iowa land survey map of t078n, r002e","Part of a set of digitized microfilm of manuscript maps of Iowa townships. Individual maps in the set may include: Native American villages and fields; the first farmsteads, town sites and fields established by settlers; networks of trails; distribution of rivers, woods, prairies, wetlands and springs; and survey data such as creator, date created, and date accepted.",English,United States Surveyor General,Maps,Planning and Cadastral,1836-1839,[1836 TO 1839],1836,1836,"Scott County, Iowa|Iowa","-90.78520929, 41.508949, -90.66763837, 41.59649967",Image,Image,JPEG,https://digital.lib.uiowa.edu/islandora/object/ui:glo_30,605ce2d9-751c-4ec5-9cf6-a965da34a3c9,605ce2d9-751c-4ec5-9cf6-a965da34a3c9,Iowa,03d-03,03d-03,Active,Manual,8/31/2020,Public,"Material in the public domain. No restrictions on use. For  more information, contact the University of Iowa Libraries Map Collection: http://www.lib.uiowa.edu/maps/contact.",FALSE,FALSE
"Land Survey Map: Scott County, Iowa; 78N 3E","Iowa land survey map of t078n, r003e","Part of a set of digitized microfilm of manuscript maps of Iowa townships. Individual maps in the set may include: Native American villages and fields; the first farmsteads, town sites and fields established by settlers; networks of trails; distribution of rivers, woods, prairies, wetlands and springs; and survey data such as creator, date created, and date accepted.",English,United States Surveyor General,Maps,Planning and Cadastral,1836-1839,[1836 TO 1839],1836,1836,"Scott County, Iowa|Iowa","-90.66903012, 41.50914913, -90.55134713, 41.59665688",Image,Image,JPEG,https://digital.lib.uiowa.edu/islandora/object/ui:glo_48,adb84dd4-2f32-4b75-b0a0-4064b37554ce,adb84dd4-2f32-4b75-b0a0-4064b37554ce,Iowa,03d-03,03d-03,Active,Manual,8/31/2020,Public,"Material in the public domain. No restrictions on use. For  more information, contact the University of Iowa Libraries Map Collection: http://www.lib.uiowa.edu/maps/contact.",FALSE,FALSE
"Land Survey Map: Muscatine County, Iowa; 78N 1W","Iowa land survey map of t078n, r001w","Part of a set of digitized microfilm of manuscript maps of Iowa townships. Individual maps in the set may include: Native American villages and fields; the first farmsteads, town sites and fields established by settlers; networks of trails; distribution of rivers, woods, prairies, wetlands and springs; and survey data such as creator, date created, and date accepted.",English,United States Surveyor General,Maps,Planning and Cadastral,1836-1839,[1836 TO 1839],1836,1836,"Muscatine County, Iowa|Iowa","-91.01953096, 41.50757896, -90.89994342, 41.5975008",Image,Image,JPEG,https://digital.lib.uiowa.edu/islandora/object/ui:glo_117,9efa3880-f6be-4475-8e18-a94076d884c0,9efa3880-f6be-4475-8e18-a94076d884c0,Iowa,03d-03,03d-03,Active,Manual,8/31/2020,Public,"Material in the public domain. No restrictions on use. For  more information, contact the University of Iowa Libraries Map Collection: http://www.lib.uiowa.edu/maps/contact.",FALSE,FALSE
"Land Survey Map: Muscatine County, Iowa; 78N 2W","Iowa land survey map of t078n, r002w","Part of a set of digitized microfilm of manuscript maps of Iowa townships. Individual maps in the set may include: Native American villages and fields; the first farmsteads, town sites and fields established by settlers; networks of trails; distribution of rivers, woods, prairies, wetlands and springs; and survey data such as creator, date created, and date accepted.",English,United States Surveyor General,Maps,Planning and Cadastral,1836-1839,[1836 TO 1839],1836,1836,"Muscatine County, Iowa|Iowa","-91.13577364, 41.50796091, -91.01866093, 41.59762311",Image,Image,JPEG,https://digital.lib.uiowa.edu/islandora/object/ui:glo_144,bf27b570-1ca5-46a8-8bff-87d0da7d9b15,bf27b570-1ca5-46a8-8bff-87d0da7d9b15,Iowa,03d-03,03d-03,Active,Manual,8/31/2020,Public,"Material in the public domain. No restrictions on use. For  more information, contact the University of Iowa Libraries Map Collection: http://www.lib.uiowa.edu/maps/contact.",FALSE,FALSE
"Land Survey Map: Muscatine County, Iowa; 78N 3W","Iowa land survey map of t078n, r003w","Part of a set of digitized microfilm of manuscript maps of Iowa townships. Individual maps in the set may include: Native American villages and fields; the first farmsteads, town sites and fields established by settlers; networks of trails; distribution of rivers, woods, prairies, wetlands and springs; and survey data such as creator, date created, and date accepted.",English,United States Surveyor General,Maps,Planning and Cadastral,1836-1839,[1836 TO 1839],1836,1836,"Muscatine County, Iowa|Iowa","-91.25182582, 41.50893033, -91.13448126, 41.59805174",Image,Image,JPEG,https://digital.lib.uiowa.edu/islandora/object/ui:glo_176,8e3e70ac-20cc-438a-a381-327d656df208,8e3e70ac-20cc-438a-a381-327d656df208,Iowa,03d-03,03d-03,Active,Manual,8/31/2020,Public,"Material in the public domain. No restrictions on use. For  more information, contact the University of Iowa Libraries Map Collection: http://www.lib.uiowa.edu/maps/contact.",FALSE,FALSE
"Land Survey Map: Muscatine County, Iowa; 78N 4W","Iowa land survey map of t078n, r004w","Part of a set of digitized microfilm of manuscript maps of Iowa townships. Individual maps in the set may include: Native American villages and fields; the first farmsteads, town sites and fields established by settlers; networks of trails; distribution of rivers, woods, prairies, wetlands and springs; and survey data such as creator, date created, and date accepted.",English,United States Surveyor General,Maps,Planning and Cadastral,1836-1839,[1836 TO 1839],1836,1836,"Muscatine County, Iowa|Iowa","-91.36766946, 41.50982353, -91.25081532, 41.59836272",Image,Image,JPEG,https://digital.lib.uiowa.edu/islandora/object/ui:glo_213,6d31783e-ee00-488f-a0af-a8c8a2925255,6d31783e-ee00-488f-a0af-a8c8a2925255,Iowa,03d-03,03d-03,Active,Manual,8/31/2020,Public,"Material in the public domain. No restrictions on use. For  more information, contact the University of Iowa Libraries Map Collection: http://www.lib.uiowa.edu/maps/contact.",FALSE,FALSE
